index,artist_name,track_name,track_id,track_popularity,artist_id
71,David Guetta,Together,72RR2wlzXKiTr1gJxl2QWW,40,1Cs0zKBU1kc0i8ypK3B9ai
72,Vincenzo Ricca,Morkentesbiah,6mpR1F6mKnw2RyfRTZJL9h,0,21Ib8rt8RooYnxWaBCWzJv
73,David Guetta,Solar,66jq8nhahv1FDsFuXScI1P,40,1Cs0zKBU1kc0i8ypK3B9ai
74,Vincenzo Ricca,Morkentesbiah,1qzu82RqCa5bY33Oewkjjc,0,21Ib8rt8RooYnxWaBCWzJv
75,David Guetta,Element,5wMvo4TYKuwCsvESQjhYCQ,39,1Cs0zKBU1kc0i8ypK3B9ai
76,Trine Lund Sørensen,Mørkenatten,0PfOGRjVy9SrXiz2ASi791,2,55NycKnGF2GYxhTJDvjje5
77,David Guetta,Juno,2o3SdgwbZ1pVRza1KYLk6J,38,1Cs0zKBU1kc0i8ypK3B9ai
78,Vincenzo Ricca,Morkentesbiah,4XVBklNlrL0PG6pRCv5u5f,0,21Ib8rt8RooYnxWaBCWzJv
79,Aurelius Schmidt,Morgensonne,3ozSKHP42w2mYbkmqEnfOq,50,4DRJD1JI9CaeeHH9LrkzbY
80,Mork,Morkent,31pbAxEycMNry9WQRIdFWc,4,6txf2ksDlbyt06kNh1m4o7
81,MoKenStef,He's Mine,20VRVHMwAspwLA207PdKOn,59,3uklrkyCGBBg5PoFTbEoim
82,Antonio Aguilar,Morenita Labios Rojos,1qVDKiZHtN5DdelrFphs7k,50,0PN0fbe41KbuzlRYnoajNm
83,Vincenzo Ricca,Morkentesbiah,3uSM1j0EFjq7ABpikg4rLn,0,21Ib8rt8RooYnxWaBCWzJv
84,HUGEL,Morenita - Matroda Remix,4Qa9y4SXsLBAhcRZUdtpOw,55,5PlfkPxwCpRRWQJBxCa0By
85,Kaza & Karlsen,"John ""Interlude"" Morken",4CB5qMsVAgRHfozk6oLyuv,0,0P2AJy8ud3PKrAVypZvxq2
86,Miguel Bosé,Morenamía (Dueto 2007),3osYhl8lGmLJYASrrh9Y5f,60,7mWCSSOYqm4E9mB7V4ot6S
87,Justin Jet Zorbas,Morken's Suffering,2y0TjUSheVzLT7OCajX90g,0,10G9N5ABjyamTFBEAsquNs
88,David Guetta,Element,4fr0TUNlNMjORHGnZX9DQs,67,1Cs0zKBU1kc0i8ypK3B9ai
89,XIA,Ennui Morken,7eaPfRTtweT4C2fM8CGLaN,0,5UyJGL1rWehBrOkqJWAnn0
90,Marco Antonio Solís,Morenita,1U69jy6P8Kz0hdNOuzbRCk,51,3tJnB0s6c3oXPq1SCCavnd
91,Vahidli,The Robbery (Morken Remix),2TYfQrSaen1qlUFM7HYXxX,0,1W3Y5REl5wa6TQUbmCYAZv
92,Raulin Rodriguez,Morena Yo Soy Tu Marido,11zTGBB3ROIzgb5Zge16sS,43,5rvaaWutd0gsbc2iMNo9k5
93,Prins Thomas,Ambitions - Øyvind Morken Remix,24c0tNECj2W6Yby1iEsZfe,2,4rsEVNO1tGTY0beCnsnHi6
94,Girl Ultra,Morena Mía,0khtbTGV5xIjp0Oi5ataCQ,49,7i1CyQ1fogh4bkj3EPj3ls
95,Vanvidd,Under ei Morken Rot,1DIHxGZodAQwTzIcwOsTbe,2,2hNY3IUCOWtJP1YPCH4CQ4
96,David Guetta,Titanium (feat. Sia) - David Guetta & MORTEN Future Rave Remix,5072hCBK3Z15qRnTEzd8fy,68,1Cs0zKBU1kc0i8ypK3B9ai
97,teenspring,Свежак (prod. by Morkent),1GTB5sTWD5k4Fnr5wK0BMf,0,4IJ6GRXwK6id9i1v7uVhv9
98,The Sound Around,Morgenstille - Alpha Sinus 86Hz - 93Hz,2NkwIK3b3tqTcjqmWbUM5M,45,27JSYLOZfglXz3hQbeL2Bl
99,teenspring,КИСЛО [prod. by Morkent],75iqNXy30u1wogiYkPhJqS,0,4IJ6GRXwK6id9i1v7uVhv9
100,Hana Feng Lei / Tao Te Ching Music Zone,Chinese New Year Began on 28 January 2017: National Music of China,07cC4uYzWP1DcsZjOSNivk,0,1LFu6K33MJrVdavc3Qklkp
101,Dean Evenson,Tao and Then,1ycnIxATzbFtnvc6T7UlKQ,30,6Sp2FifnF2ZMmUrLvUuapi
102,Hana Feng Lei / Tao Te Ching Music Zone,Jade Emperor: Terracotta Army,5mB3Ijuhb4iDDX88kqAF9f,0,1LFu6K33MJrVdavc3Qklkp
103,Dean Evenson,Gentle Season,63u4EIXqAjfSCO1d2zCRS2,36,6Sp2FifnF2ZMmUrLvUuapi
104,Hana Feng Lei / Tao Te Ching Music Zone,Pu-erh Tea: Yunnan Province in Southern China,5waqgcW1OnHCFSE6v05uQE,0,1LFu6K33MJrVdavc3Qklkp
105,Tao Te Ching Music Zone,Reverting to Stillness,2iYSLnyXdUzafwatn9nuej,11,1cQiSB3htApCRkt5jZ2Ax9
